ticker,estado
AL,Alabama
AK,Alaska
AZ,Arizona
AR,Arkansas
CA,California
NC,Carolina del Norte
SC,Carolina del Sur
CO,Colorado
CT,Connecticut
DC,Distrito de Columbia
ND,Dakota del Norte
SD,Dakota del Sur
DE,Delaware
FL,Florida
GA,Georgia
HI,Hawái
ID,Idaho
IL,Illinois
IN,Indiana
IA,Iowa
KS,Kansas
KY,Kentucky
LA,Luisiana
ME,Maine
MD,Maryland
MA,Massachusetts
MI,Míchigan
MN,Minnesota
MS,Misisipi
MO,Misuri
MT,Montana
NE,Nebraska
NV,Nevada
NJ,Nueva Jersey
NY,Nueva York
NH,Nuevo Hampshire
NM,Nuevo México
OH,Ohio
OK,Oklahoma
OR,Oregón
PA,Pensilvania
RI,Rhode Island
TN,Tennessee
TX,Texas
UT,Utah
VT,Vermont
VA,Virginia
WV,Virginia Occidental
WA,Washington
WI,Wisconsin
WY,Wyoming
PR,Puerto Rico
